Number,idOriginal,newClusters,xs,ys,point,xVal,yVal,centerX,centerY,distNoSqrt,dist,theta,spiralX,spiralY,spiral7X,spiralGX,spiralGY
31,003o0000005Be9t,5,-0.20219,0.16471,32,1,-1.5,-0.06329392,-0.0532988,0.066819958,0.258495567,5.747925319,0.222341355,-0.131849459,-5.777658645,-1.777658645,0.868150541
32,003o0000005EQL4,5,0.28186,0.3209,33,0.5,-1.5,-0.06329392,-0.0532988,0.25915597,0.509073639,10.28739947,-0.331126204,-0.38666705,-6.331126204,-2.331126204,0.61333295
33,003o0000005EQIM,5,0.21299,0.39873,34,0,-1.5,-0.06329392,-0.0532988,0.28066284,0.529776217,10.62803654,-0.190358509,-0.494395063,-6.190358509,-2.190358509,0.505604937
34,003o0000005EQLa,5,-0.13363,0.45252,35,-0.5,-1.5,-0.06329392,-0.0532988,0.260799823,0.51068564,10.31409034,-0.321704481,-0.396618267,-6.321704481,-2.321704481,0.603381733
35,003o0000005EQJi,5,-0.09644,0.32602,36,-1,-1.5,-0.06329392,-0.0532988,0.144981415,0.380764251,8.065928769,-0.080099038,0.372243951,-6.080099038,-2.080099038,1.372243951
36,003o0000005EQ9O,5,0.05097,0.4931,37,-1.5,-1.5,-0.06329392,-0.0532988,0.311607892,0.558218498,11.08857951,0.051842423,-0.555805951,-5.948157577,-1.948157577,0.444194049
37,003o0000005EQNw,5,0.02805,0.46631,38,-1.5,-1,-0.06329392,-0.0532988,0.278337017,0.527576551,10.59206314,-0.207152886,-0.485205831,-6.207152886,-2.207152886,0.514794169
38,003o0000005EQM4,5,0.02634,0.28224,39,-1.5,-0.5,-0.06329392,-0.0532988,0.120620526,0.347304659,7.452651189,0.135672279,0.319708553,-5.864327721,-1.864327721,1.319708553
39,003o0000005EQKL,5,-0.16387,0.49999,40,-1.5,0,-0.06329392,-0.0532988,0.316244044,0.562355798,11.15487023,0.089202624,-0.555235928,-5.910797376,-1.910797376,0.444764072
40,003o0000005EQLE,5,-0.09439,0.54114,41,-1.5,0.5,-0.06329392,-0.0532988,0.354324453,0.595251588,11.67578648,0.374388252,-0.462771963,-5.625611748,-1.625611748,0.537228037
41,003o0000005EQJx,5,-0.26057,0.35133,42,-1.5,1,-0.06329392,-0.0532988,0.202642318,0.450158103,9.291814673,-0.446184736,0.059678294,-6.446184736,-2.446184736,1.059678294
42,003o0000005EQMd,5,-0.33395,0.45826,43,-1.5,1.5,-0.06329392,-0.0532988,0.334947119,0.578746162,11.41577408,0.236095374,-0.528399559,-5.763904626,-1.763904626,0.471600441
43,003o0000005EQO6,5,-0.26399,0.4397,44,-1,1.5,-0.06329392,-0.0532988,0.283326733,0.532284448,10.66899312,-0.170760458,-0.504150374,-6.170760458,-2.170760458,0.495849626
44,003o0000005EQNY,5,0.13316,0.58332,45,-0.5,1.5,-0.06329392,-0.0532988,0.443877639,0.666241427,12.76426119,0.65323871,0.130984071,-5.34676129,-1.34676129,1.130984071
45,003o0000005Begt,5,-0.22096,0.47129,46,0,1.5,-0.06329392,-0.0532988,0.300052002,0.547770026,10.92038006,-0.04115034,-0.546222163,-6.04115034,-2.04115034,0.453777837
46,003o0000005EQN6,5,0.11451,0.36476,47,0.5,1.5,-0.06329392,-0.0532988,0.206387394,0.454298794,9.363096398,-0.453434852,0.028004094,-6.453434852,-2.453434852,1.028004094
47,003o0000005Bemx,5,0.23145,0.4519,48,1,1.5,-0.06329392,-0.0532988,0.342099806,0.584892987,11.51292222,0.289274547,-0.508350315,-5.710725453,-1.710725453,0.491649685
48,003o0000005EQJj,5,0.19529,0.44206,49,1.5,1.5,-0.06329392,-0.0532988,0.312245984,0.55878975,11.09774297,0.05699154,-0.555875839,-5.94300846,-1.94300846,0.444124161
49,003o0000005Beee,5,0.04339,0.5166,50,2,1.5,-0.06329392,-0.0532988,0.336166101,0.579798328,11.43242996,0.24530834,-0.525347427,-5.75469166,-1.75469166,0.474652573
50,003o0000005EQOV,5,0.0684,0.44448,51,2,1,-0.06329392,-0.0532988,0.265127022,0.514904867,10.38381608,-0.295713824,-0.421521478,-6.295713824,-2.295713824,0.578478522
51,003o0000005BedD,5,-0.03412,0.49272,52,2,0.5,-0.06329392,-0.0532988,0.298987648,0.546797629,10.9046687,-0.049638524,-0.544539865,-6.049638524,-2.049638524,0.455460135
52,003o0000005CufK,5,0.15569,0.38988,53,2,0,-0.06329392,-0.0532988,0.244361406,0.494329249,10.04193607,-0.403138554,-0.286078157,-6.403138554,-2.403138554,0.713921843
