,idOriginal,newClusters,xs,ys,point,xVal,yVal,centerX,centerY,distNoSqrt,dist,theta,spiralX,spiralY
0,003o0000005EQJE,5,0.2746,0.25617,1.0,0.0,0.0,-0.06329392,-0.0532988,0.2099432393464064,0.45819563435982935,9.429995113253902,-0.45818939863378816,-0.0023904656479433466
1,003o0000005EQJy,5,0.28068000000000004,0.23953000000000002,2.0,0.5,0.0,-0.06329392,-0.0532988,0.20406676374960642,0.45173749429243354,9.319027775087385,-0.44921393419074157,0.0476823350779144
2,003o0000005Cull,5,0.34437,0.30214,3.0,0.5,-0.5,-0.06329392,-0.0532988,0.29252661221520637,0.5408572937616783,10.808473644879143,-0.10060536496694948,-0.531418077181303
3,003o0000005EQJt,5,0.31045,0.2584,4.0,0.0,-0.5,-0.06329392,-0.0532988,0.2368406596584064,0.4866627781723258,9.913346544532233,-0.4297259662190417,-0.2284212197137504
4,003o0000005EQLB,5,0.21048000000000003,0.20525,5.0,-0.5,-0.5,-0.06329392,-0.0532988,0.1417996412536064,0.37656293133234237,7.989744073064838,-0.05096620129701901,0.3730979597625242
5,003o0000005Bew2,5,0.35616,0.43653000000000003,6.0,-0.5,0.0,-0.06329392,-0.0532988,0.4158738443128064,0.6448828144033661,12.441728605876643,0.6398799658159626,-0.08017152649269525
6,003o0000005EQJW,5,0.43491,0.35228000000000004,7.0,-0.5,0.5,-0.06329392,-0.0532988,0.41270130891280643,0.6424183285934535,12.404243657518881,0.6339937751508974,-0.10369764694880854
7,003o0000005BefR,5,-0.27503,0.3003,8.0,0.0,0.5,-0.06329392,-0.0532988,0.1698642789352064,0.4121459437325647,8.627762332844648,-0.2880259099242941,0.2947971406704766
8,003o0000005EQK8,5,-0.17377,0.42636999999999997,9.0,0.5,0.5,-0.06329392,-0.0532988,0.24228712194560637,0.492226697717227,10.006735810231248,-0.41120032532132234,-0.27055759904546217
9,003o0000005Befv,5,-0.027180000000000003,0.38301999999999997,10.0,1.0,0.5,-0.06329392,-0.0532988,0.19167831045120637,0.4378108158225495,9.078042250497516,-0.4117553911913242,0.14878107499304458
10,003o0000005EQOB,5,-0.009040000000000001,0.5220100000000001,11.0,1.0,0.0,-0.06329392,-0.0532988,0.3339237031928065,0.577861318304666,11.401758352263881,0.228316913557965,-0.5308437530725697
11,003o0000005EQJl,5,-0.21350999999999998,0.50121,12.0,1.0,-0.5,-0.06329392,-0.0532988,0.3300448799680064,0.5744953263239018,11.348369829970146,0.19850107311320614,-0.5391124223581869
12,003o0000005EQHo,5,-0.36504000000000003,0.22048,13.0,1.0,-1.0,-0.06329392,-0.0532988,0.1660055281248064,0.40743775981713626,8.544271491884246,-0.2594403560960115,0.3141595609775089
13,003o0000005EQOi,5,-0.25287,0.47425,14.0,0.5,-1.0,-0.06329392,-0.0532988,0.3142468264896064,0.560577226160327,11.126394239789079,0.07312569160293576,-0.5557872432120036
14,003o0000005Cue9,5,-0.08351,0.50817,15.0,0.0,-1.0,-0.06329392,-0.0532988,0.3156559032640064,0.5618326292268956,11.146497352326493,0.08447196752750322,-0.5554461179682857
15,003o0000005EQIK,5,-0.44114,0.24681,16.0,-0.5,-1.0,-0.06329392,-0.0532988,0.23283295200880638,0.48252766968206745,9.84371289798312,-0.440799985823164,-0.19628633296056244
16,003o0000005EQKU,5,-0.18574000000000002,0.3774,17.0,-1.0,-1.0,-0.06329392,-0.0532988,0.2004944988288064,0.44776612067998894,9.250544051263416,-0.44098677706586525,0.07762191238218313
17,003o0000005Befo,5,-0.41635,-0.44301999999999997,18.0,-1.0,-0.5,-0.06329392,-0.0532988,0.2765312093544064,0.5258623482950708,10.5639931132721,-0.21997217161858065,-0.4776436465272118
