idOriginal,newClusters,xs,ys,point,xVal,yVal
003o0000005EQLO,5,0.104938127,0.397128725,96,0,-2.5
003o0000005EQIh,5,0.046671547,0.292284309,97,-0.5,-2.5
003o0000005EQId,5,-0.241371981,0.408637588,98,-1,-2.5
003o0000005Culm,5,-0.018986795,0.540634889,99,-1.5,-2.5
003o0000005Beed,5,-0.128783801,0.386635444,100,-2,-2.5
003o0000005CurG,5,0.051706295,0.212145452,101,-2.5,-2.5
003o0000005Be7e,5,0.012761067,0.170673241,102,-2.5,-2
003o0000005Be8H,5,0.032450768,0.193652377,103,-2.5,-1.5
003o0000005Be8L,5,-0.210492528,0.248432918,104,-2.5,-1
003o0000005Be4N,5,-0.353850478,0.311656518,105,-2.5,-0.5
003o0000005Be9E,5,0.118231434,0.162060899,106,-2.5,0
003o0000005BeA2,5,-0.0403525,0.111197675,107,-2.5,0.5
003o0000005Be8K,5,-0.376066984,0.390977857,108,-2.5,1
003o0000005BeA0,5,-0.193676938,0.314871518,109,-2.5,1.5
003o0000005Be9u,5,-0.44320025,0.15334657,110,-2.5,2
003o0000005BeA1,5,-0.138569402,0.219079931,111,-2.5,2.5
003o0000005Be8J,5,-0.021237114,0.237353006,112,-2,2.5
003o0000005Be93,5,-0.097786134,0.258227238,113,-1.5,2.5
003o0000005Be8m,5,-0.05307484,0.245457543,114,-1,2.5
003o0000005Be6f,5,0.064812465,0.29676463,115,-0.5,2.5
003o0000005EQNd,5,-0.258556195,0.15879256,116,0,2.5
003o0000005EQMT,5,-0.218860793,0.199748623,117,0.5,2.5
003o0000005EQLA,5,-0.318179751,0.411468533,118,1,2.5
003o0000005Bebs,5,0.348181177,0.540680434,119,1.5,2.5
003o0000005Bes3,5,-0.444917849,0.355992715,120,2,2.5
003o0000005Be9j,5,-0.362813562,0.23120543,121,2.5,2.5
003o0000005Be8l,5,-0.322628569,0.391623972,122,3,2.5
003o0000005Be9l,5,-0.329731606,0.178331295,123,3,2
003o0000005Be85,5,-0.508816712,0.225568777,124,3,1.5
003o0000005Be9b,5,-0.461072016,0.274136074,125,3,1
003o0000005BegW,0,-0.353591108,0.148924442,126,3,0.5
003o0000005EQHb,0,-0.21128682,0.094156602,127,3,0
003o0000005EQJX,0,-0.454800338,0.168529956,128,3,-0.5
003o0000005EQMn,0,-0.385311674,0.141942903,129,3,-1
003o0000005Befp,0,-0.473706345,0.337440415,130,3,-1.5
003o0000005Bevh,0,-0.412409083,0.207840936,131,3,-2
003o0000005Be9S,0,-0.552071857,0.040108708,132,3,-2.5
003o0000005Be91,0,-0.241206003,-0.005751889,133,3,-3
003o0000005Be7z,0,-0.495970122,0.052682986,134,2.5,-3
003o0000005Be8q,0,-0.387455895,0.061862911,135,2,-3
003o0000005Be9D,0,-0.190891963,0.022587816,136,1.5,-3
003o0000005Be6b,0,-0.175863483,-0.277477172,137,1,-3
003o0000005Be6i,0,-0.380289408,-0.023567766,138,0.5,-3
003o0000005Be6k,0,-0.239993266,0.036268186,139,0,-3
003o0000005Be6v,0,-0.505852077,-0.176980427,140,-0.5,-3
003o0000005Be9q,0,-0.189309037,-0.017435003,141,-1,-3
003o0000005Be8s,0,-0.417051588,0.020884861,142,-1.5,-3
003o0000005Be8b,0,-0.439333712,0.01108371,143,-2,-3
003o0000005Be9p,0,-0.229477895,-0.144324167,144,-2.5,-3
