caseNumber,CODEYR,clusters,xStart,yStart,xs,ys
158,10,1,0.456624151,0.124547581,-0.570555902,0.142763255
159,9,1,0.492272497,0.178005109,-0.31073736,0.002716177
160,8,1,0.144614272,0.409800037,0.238851975,0.204051063
161,11,3,0.558973241,-0.171163384,-0.379244994,-0.207738831
162,14,1,0.306971307,0.460773992,0.302805358,0.04448144
163,6,1,-0.013479269,0.333394082,-0.225505732,-0.236967777
164,7,3,-0.42324114,0.270358722,-0.161560323,0.28528506
165,11,3,-0.071995479,0.044003263,0.249950486,0.280741291
166,10,1,0.425443213,0.338987291,0.548357759,0.063888241
167,13,3,-0.273648853,0.370845678,0.130144575,0.298492761
168,9,3,0.330698303,-0.045351592,-0.097069409,-0.442612243
169,7,1,0.106732035,0.32880264,0.049253965,0.387069795
170,9,3,-0.292115942,0.395720613,-0.476998816,0.155102062
171,7,1,0.246541142,0.44927416,0.174419004,0.124197671
172,11,1,0.187312418,0.489241651,-0.096226395,0.37467157
173,8,3,0.612932536,-0.001501715,-0.40724611,-0.114522373
174,11,3,0.417543688,0.092801682,-0.29450644,-0.279450013
175,11,1,-0.083781299,0.560971013,0.014976083,0.564785743
176,7,3,0.218763244,0.012895267,-0.216957993,0.309760949
177,8,1,0.251899618,0.362366848,-0.253069354,-0.431251824
178,16,1,-0.040729049,0.323446704,-0.163632003,0.592360978
179,6,3,0.234314428,0.045113683,-0.186679255,-0.038520321
180,8,1,0.225528085,0.220592964,-0.431501886,-0.391763719
181,38,1,0.133063032,0.086582748,-0.090459073,-0.512487493
182,13,3,0.567879189,-0.097537501,0.489157777,-0.161186079
183,7,1,0.305002237,0.203005545,-0.372133687,-0.368750762
184,17,3,0.465760729,-0.1678039,0.248506731,-0.478661933
185,9,1,-0.184077196,0.4196762,-0.536018558,-0.006122215
186,15,3,0.610184671,0.113172107,-0.364171702,0.375675767
187,8,1,0.150129222,0.334514035,-0.031620915,0.471680659
188,6,3,0.433729341,-0.215971412,-0.139810342,-0.77883662
189,8,3,-0.279010567,0.21449334,0.086148392,-0.134699946
190,9,1,0.039707568,0.53148013,-0.353749644,0.495695594
191,9,1,0.039707568,0.53148013,0.013662956,0.315066275
192,15,1,-0.106502288,0.061066263,0.286009124,0.528581232
193,7,3,-0.356870338,0.342431197,-0.629982009,-0.223483363
194,10,3,0.046328469,0.109323825,-0.644252802,0.130054732
195,8,1,0.266004949,0.230140227,0.106179651,0.043548041
196,6,3,0.363346645,-0.229194409,0.588568618,-0.718530317
197,9,1,0.181455366,0.434843086,0.104594846,0.560525626
198,8,1,0.321856946,0.279258796,-0.306624696,0.341942434
199,7,3,0.123688706,-0.064866592,-0.003619053,0.118523744
200,4,3,-0.308608447,0.480135662,-0.2668582,-0.074576448
201,9,3,0.502170554,-0.27540258,-0.358822583,0.400051714
202,7,1,-0.088679943,0.343274599,0.21696892,-0.474264734
203,9,1,-0.193809912,0.570202186,-0.177926195,-0.495269659
204,11,3,-0.389481082,0.269178955,0.310653751,-0.034476448
205,9,1,0.039896782,0.213493642,-0.429407459,0.343302238
206,6,1,-0.204784936,0.309110725,0.469317508,-0.056593127
207,10,1,-0.023021803,0.557182507,0.061136566,-0.550511112
208,9,1,-0.076407952,0.48265077,0.362101434,0.098029993
209,19,3,0.499757957,-0.036810412,-0.33165833,-0.346874339
210,14,1,0.464466677,0.304219064,-0.331426911,0.223365449
211,11,1,0.428441427,0.040199505,-0.192707382,-0.125298207
212,16,1,0.386221598,0.376800709,-0.414493786,-0.307076928
213,5,1,-0.112286721,0.534937277,0.451455136,-0.273689831
214,9,1,0.027102019,0.277614703,-0.238994448,0.243948332
215,13,1,0.184830294,0.391582924,0.461877553,-0.188096321
216,4,1,0.455898352,0.083072797,0.604822112,0.075830831
217,9,3,0.587471931,-0.23081752,0.443835548,0.265304462
218,9,1,0.180986266,0.19122814,0.311812768,-0.211961581
219,11,3,-0.389178716,0.188903486,-0.045972064,-0.344855626
220,9,1,0.364074085,0.16934772,0.077940765,0.290329528
221,8,1,0.392643801,0.229168791,0.28764382,-0.581554739
222,8,1,0.2337366,0.275627215,-0.111302449,-0.37475911
223,9,3,0.1067791,0.001453732,0.158158627,-0.281659173
224,12,1,-0.089424249,0.428013601,0.602671301,0.215837741
225,10,0,-0.103491521,-0.610564704,-0.140875573,0.194552589
226,12,0,-0.096115858,-0.560262124,0.210094278,0.504120819
,,,,,-0.164355797,-0.451987646
,,,,,0.029108171,0.023989236
,,,,,0.063579992,0.013348155
,,,,,0.202828317,-0.090009584
,,,,,-0.283327286,-0.396024558
,,,,,-0.245753414,0.445364156
,,,,,0.039626804,-0.56565021
,,,,,-0.173365008,0.129098709
,,,,,-0.199552285,-0.497805728
,,,,,-0.178712797,-0.347162476
,,,,,-0.419349846,0.037933441
,,,,,-0.215289522,0.147673047
,,,,,0.323283072,-0.18020006
,,,,,-0.913882154,-0.179779505
